,Code,Description
513,19544,China Airlines Ltd.: CI
514,19545,Cargolux Airlines International S.A: CV
515,19546,Icelandair: FI
516,19547,Iberia Air Lines Of Spain: IB
517,19548,Japan Air Lines Co. Ltd.: JL
518,19549,Air Jamaica Limited: JM
519,19550,Korean Air Lines Co. Ltd.: KE
520,19551,Klm Royal Dutch Airlines: KL
521,19552,Lan-Chile Airlines: LA
522,19553,Lloyd Aereo Boliviano S. A.: LB
523,19554,Lufthansa German Airlines: LH
524,19555,Polskie Linie Lotnicze: LO
525,19556,Lacsa: LR
526,19557,Luftransport-Unternehmen: LT
527,19558,El Al Israel Airlines Ltd.: LY
528,19559,Compania Mexicana De Aviaci: MX
529,19560,N. W. Territorial Airways: NWQ
530,19561,Olympic Airways: OA
531,19562,Polynesian Airlines Ltd.: PH
532,19563,Pakistan International Airlines: PK
533,19564,Philippine Airlines Inc.: PR
534,19565,Surinam Airways Limited: PY
535,19566,Qantas Airways Ltd.: QF
536,19567,Varig S. A.: RG
537,19568,Alia-(The) Royal Jordanian: RJ
538,19569,Tarom Romanian Air Transpor: RO
539,19570,South African Airways: SA
540,19571,Scandinavian Airlines Sys.: SK
541,19572,Singapore Airlines Ltd.: SQ
542,19573,Aeroflot Russian Airlines: SU
543,19574,Taca International Airlines: TA
544,19575,Thai Airways International Ltd.: TG
545,19576,Tap-Portuguese Airlines: TP
546,19577,Bahamasair Holding Limited: UP
547,19578,Transtar Airlines Corp.: MC
548,19579,Heavylift Cargo Airlines Lt: HLQ
549,19580,Ladeco: UC
550,19581,Altus Airlines: ALT
551,19582,Atlantic Air: ANC
552,19583,Aero International Airlines: BAA
553,19584,Northern Star: DIR
554,19585,Skytrain: SKT
555,19586,Trans Air Cargo Inc.: TGO
556,19587,T-Bird Air Inc.: THQ
557,19588,Royal West Airways Inc.: ROA
558,19589,Air East Of Delaware Inc.: AED
559,19590,Atlanta Express: ALX
560,19591,Air New Orleans: AOR
561,19592,Air Vermont Inc.: AVR
562,19593,Dolphin Airways Inc.: DOL
563,19594,Devoe Airlines: DVO
564,19595,Golden Pacific Airlines: KIN
565,19596,National Florida Airlines: NFA
566,19597,Slocum Air Inc.: SLO
567,19598,State Airlines Inc.: STA
568,19599,Air Molakai: TRO
569,19600,Williams Air Inc.: WIR
570,19601,Mission Air: WSU
